"HostName","Profile","Enabled","DefaultInboundAction","DefaultOutboundAction","AllowInboundRules","AllowLocalFirewallRules","AllowLocalIPsecRules","AllowUserApps","AllowUserPorts","AllowUnicastResponseToMulticast","NotifyOnListen","EnableStealthModeForIPsec","LogMaxSizeKilobytes","LogAllowed","LogBlocked","LogIgnored","Caption","Description","ElementName","InstanceID","DisabledInterfaceAliases","LogFileName","Name","PSComputerName","CimClass","CimInstanceProperties","CimSystemProperties"
"DC-SRV01","Domain","True","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","False","NotConfigured","4096","NotConfigured","NotConfigured","NotConfigured",,,"","MSFT|FW|FirewallProfile|Domain","System.String[]","%systemroot%\system32\LogFiles\Firewall\pfirewall.log","Domain",,"root/standardcimv2:MSFT_NetFirewallProfile","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"DC-SRV01","Private","True","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","False","NotConfigured","4096","NotConfigured","NotConfigured","NotConfigured",,,"","MSFT|FW|FirewallProfile|Private","System.String[]","%systemroot%\system32\LogFiles\Firewall\pfirewall.log","Private",,"root/standardcimv2:MSFT_NetFirewallProfile","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
"DC-SRV01","Public","True","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","NotConfigured","False","NotConfigured","4096","NotConfigured","NotConfigured","NotConfigured",,,"","MSFT|FW|FirewallProfile|Public","System.String[]","%systemroot%\system32\LogFiles\Firewall\pfirewall.log","Public",,"root/standardcimv2:MSFT_NetFirewallProfile","Microsoft.Management.Infrastructure.Internal.Data.CimPropertiesCollection","Microsoft.Management.Infrastructure.CimSystemProperties"
