"HostName","DisplayName","Name","State","UserName","InstallDate","Started","Status","ProcessId","PathName"
"DC-SRV01","Radio Management Service","RmSvc","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"DC-SRV01","RPC Endpoint Mapper","RpcEptMapper","Running","NT AUTHORITY\NetworkService",,"True","OK","864","C:\Windows\system32\svchost.exe -k RPCSS -p"
"DC-SRV01","Remote Procedure Call (RPC) Locator","RpcLocator","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","C:\Windows\system32\locator.exe"
"DC-SRV01","Remote Procedure Call (RPC)","RpcSs","Running","NT AUTHORITY\NetworkService",,"True","OK","864","C:\Windows\system32\svchost.exe -k rpcss -p"
"DC-SRV01","Resultant Set of Policy Provider","RSoPProv","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\RSoPProv.exe"
"DC-SRV01","Special Administration Console Helper","sacsvr","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Security Accounts Manager","SamSs","Running","LocalSystem",,"True","OK","632","C:\Windows\system32\lsass.exe"
"DC-SRV01","Smart Card","SCardSvr","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"DC-SRV01","Smart Card Device Enumeration Service","ScDeviceEnum","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"DC-SRV01","Task Scheduler","Schedule","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Smart Card Removal Policy","SCPolicySvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs"
"DC-SRV01","Secondary Logon","seclogon","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Windows Security Service","SecurityHealthService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\SecurityHealthService.exe"
"DC-SRV01","Payments and NFC/SE Manager","SEMgrSvc","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","System Event Notification Service","SENS","Running","LocalSystem",,"True","OK","1208","C:\Windows\system32\svchost.exe -k netsvcs -p"
"DC-SRV01","Windows Defender Advanced Threat Protection Service","Sense","Stopped","LocalSystem",,"False","OK","0","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe"""
"DC-SRV01","Sensor Data Service","SensorDataService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\SensorDataService.exe"
"DC-SRV01","Sensor Service","SensorService","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DC-SRV01","Sensor Monitoring Service","SensrSvc","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"DC-SRV01","Remote Desktop Configuration","SessionEnv","Stopped","localSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","System Guard Runtime Monitor Broker","SgrmBroker","Stopped","LocalSystem",,"False","OK","0","C:\Windows\system32\SgrmBroker.exe"
"DC-SRV01","Internet Connection Sharing (ICS)","SharedAccess","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Shell Hardware Detection","ShellHWDetection","Running","LocalSystem",,"True","OK","1208","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Shared PC Account Manager","shpamsvc","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\svchost.exe -k netsvcs -p"
"DC-SRV01","Microsoft Storage Spaces SMP","smphost","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","C:\Windows\System32\svchost.exe -k smphost"
"DC-SRV01","SNMP Trap","SNMPTRAP","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\System32\snmptrap.exe"
"DC-SRV01","Print Spooler","Spooler","Running","LocalSystem",,"True","OK","1812","C:\Windows\System32\spoolsv.exe"
"DC-SRV01","Software Protection","sppsvc","Stopped","NT AUTHORITY\NetworkService",,"False","OK","0","C:\Windows\system32\sppsvc.exe"
"DC-SRV01","SSDP Discovery","SSDPSRV","Stopped","NT AUTHORITY\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"DC-SRV01","OpenSSH Authentication Agent","ssh-agent","Stopped","LocalSystem",,"False","OK","0","C:\Windows\System32\OpenSSH\ssh-agent.exe"
"DC-SRV01","Secure Socket Tunneling Protocol Service","SstpSvc","Running","NT Authority\LocalService",,"True","OK","412","C:\Windows\system32\svchost.exe -k LocalService -p"
"DC-SRV01","State Repository Service","StateRepository","Running","LocalSystem",,"True","OK","2700","C:\Windows\system32\svchost.exe -k appmodel -p"
"DC-SRV01","Windows Image Acquisition (WIA)","StiSvc","Stopped","NT Authority\LocalService",,"False","OK","0","C:\Windows\system32\svchost.exe -k imgsvc"
